CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
21354;;;;;;;;;;;;;;;;;;;;;;;;;;;
21355;3895;8351;21170;57;15;;21;17;16;;;;28;69;62.4;3.2;3.4;32.5;6.1;7.3;2.3;3.3;1.7;-14.9;11600;33940;2.9
21356;684;1677;20430;;;;;;;;;;;;;;;;;;;;;;;;
21357;50;117;19710;;;;;;;;;;;;;;;;;;;;;;;;
21358;82;195;19040;;;;;;;;;;;;;;;;;;;;;;;;
21359;;;;;;;;;;;;;;;;;;;;;;;;;;;
21360;50;113;22100;;;;;;;;;;;;;;;;;;;;;;;;
21361;200;520;23470;;;;;;;;;;;;;;;;;;;;;;;;
21362;53;131;19600;;;;;;;;;;;;;;;;;;;;;;;;
21363;144;325;21990;;;;;;;;;;;;;;;;;;;;;;;;
21364;;;;;;;;;;;;;;;;;;;;;;;;;;;
21365;;;;;;;;;;;;;;;;;;;;;;;;;;;
21366;85;207;24280;;;;;;;;;;;;;;;;;;;;;;;;
21367;106;273;22610;;;;;;;;;;;;;;;;;;;;;;;;
21368;102;234;25740;;;;;;;;;;;;;;;;;;;;;;;;
21369;127;334;25110;;;;;;;;;;;;;;;;;;;;;;;;
21370;321;883;25550;;;;;;;;;;;;;;;;;;;;;;;;
21371;333;848;20570;;;;;;;;;;;;;;;;;;;;;;;;
21372;;;;;;;;;;;;;;;;;;;;;;;;;;;
21373;332;809;23630;;;;;;;;;;;;;;;;;;;;;;;;
21374;94;187;21840;;;;;;;;;;;;;;;;;;;;;;;;
21375;93;178;22430;;;;;;;;;;;;;;;;;;;;;;;;
21376;39;104;23640;;;;;;;;;;;;;;;;;;;;;;;;
21377;;;;;;;;;;;;;;;;;;;;;;;;;;;
21378;56;111;21070;;;;;;;;;;;;;;;;;;;;;;;;
21379;68;142;19870;;;;;;;;;;;;;;;;;;;;;;;;
21380;;;;;;;;;;;;;;;;;;;;;;;;;;;
21381;;;;;;;;;;;;;;;;;;;;;;;;;;;
21382;90;183;20500;;;;;;;;;;;;;;;;;;;;;;;;
21383;678;1697;22680;;;;;;;;;;;;;;;;;;;;;;;;
21384;;;;;;;;;;;;;;;;;;;;;;;;;;;
21385;134;331;23640;;;;;;;;;;;;;;;;;;;;;;;;
21386;149;326;22770;;;;;;;;;;;;;;;;;;;;;;;;
21387;91;217;22980;;;;;;;;;;;;;;;;;;;;;;;;
21388;207;601;24280;;;;;;;;;;;;;;;;;;;;;;;;
21389;107;208;23270;;;;;;;;;;;;;;;;;;;;;;;;
21390;2313;5476;23100;63;7;;;;;;;;22;69.8;60.6;2.1;7.1;34.2;8.7;4.5;2;1.6;0.9;-17.2;14100;37630;2.7
21391;313;861;26570;;;;;;;;;;;;;;;;;;;;;;;;
21392;;;;;;;;;;;;;;;;;;;;;;;;;;;
21393;63;138;20660;;;;;;;;;;;;;;;;;;;;;;;;
21394;70;156;22360;;;;;;;;;;;;;;;;;;;;;;;;
21395;;;;;;;;;;;;;;;;;;;;;;;;;;;
21396;;;;;;;;;;;;;;;;;;;;;;;;;;;
21397;71;159;23820;;;;;;;;;;;;;;;;;;;;;;;;
21398;146;366;19840;;;;;;;;;;;;;;;;;;;;;;;;
21399;86;201;24400;;;;;;;;;;;;;;;;;;;;;;;;
21400;;;;;;;;;;;;;;;;;;;;;;;;;;;
21401;149;327;26550;;;;;;;;;;;;;;;;;;;;;;;;
21402;;;;;;;;;;;;;;;;;;;;;;;;;;;
21403;;;;;;;;;;;;;;;;;;;;;;;;;;;
21404;186;429;23790;;;;;;;;;;;;;;;;;;;;;;;;
21405;310;802;23140;;;;;;;;;;;;;;;;;;;;;;;;
21406;94;264;24330;;;;;;;;;;;;;;;;;;;;;;;;
21407;92;261;24040;;;;;;;;;;;;;;;;;;;;;;;;
21408;617;1477;30440;;;;;;;;;;;;;;;;;;;;;;;;
21409;203;444;24070;;;;;;;;;;;;;;;;;;;;;;;;
21410;;;;;;;;;;;;;;;;;;;;;;;;;;;
21411;217;557;24650;;;;;;;;;;;;;;;;;;;;;;;;
21412;649;1441;25500;;;;;;;;;;;;;;;;;;;;;;;;
21413;184;427;23410;;;;;;;;;;;;;;;;;;;;;;;;
21414;131;323;22560;;;;;;;;;;;;;;;;;;;;;;;;
21415;90;183;23340;;;;;;;;;;;;;;;;;;;;;;;;
21416;808;1886;22590;;;;;;;;;;;;;;;;;;;;;;;;
21417;60;112;23240;;;;;;;;;;;;;;;;;;;;;;;;
21418;;;;;;;;;;;;;;;;;;;;;;;;;;;
21419;116;252;17980;;;;;;;;;;;;;;;;;;;;;;;;
21420;87;175;19730;;;;;;;;;;;;;;;;;;;;;;;;
21421;100;226;23290;;;;;;;;;;;;;;;;;;;;;;;;
21422;53;128;22510;;;;;;;;;;;;;;;;;;;;;;;;
21423;319;744;24390;;;;;;;;;;;;;;;;;;;;;;;;
21424;54;121;20940;;;;;;;;;;;;;;;;;;;;;;;;
21425;2379;4559;19230;44;18;;;;;;;;31;56.4;49.5;2.9;4;40.9;6.5;9.4;2.2;5;2.2;-13.2;10640;30570;2.9
21426;100;214;22320;;;;;;;;;;;;;;;;;;;;;;;;
21427;82;196;23420;;;;;;;;;;;;;;;;;;;;;;;;
21428;69;151;26020;;;;;;;;;;;;;;;;;;;;;;;;
21429;129;304;21850;;;;;;;;;;;;;;;;;;;;;;;;
21430;;;;;;;;;;;;;;;;;;;;;;;;;;;
21431;67;165;24450;;;;;;;;;;;;;;;;;;;;;;;;
21432;128;254;18530;;;;;;;;;;;;;;;;;;;;;;;;
21433;173;397;20800;;;;;;;;;;;;;;;;;;;;;;;;
21434;82;183;18590;;;;;;;;;;;;;;;;;;;;;;;;
21435;128;284;20850;;;;;;;;;;;;;;;;;;;;;;;;
21436;51;137;21420;;;;;;;;;;;;;;;;;;;;;;;;
21437;86;236;22710;;;;;;;;;;;;;;;;;;;;;;;;
21438;;;;;;;;;;;;;;;;;;;;;;;;;;;
21439;;;;;;;;;;;;;;;;;;;;;;;;;;;
21440;83;195;23730;;;;;;;;;;;;;;;;;;;;;;;;
21441;119;221;19820;;;;;;;;;;;;;;;;;;;;;;;;
21442;278;625;26920;;;;;;;;;;;;;;;;;;;;;;;;
21444;;;;;;;;;;;;;;;;;;;;;;;;;;;
21445;80;142;21840;;;;;;;;;;;;;;;;;;;;;;;;
21446;83;192;20850;;;;;;;;;;;;;;;;;;;;;;;;
21447;;;;;;;;;;;;;;;;;;;;;;;;;;;
21448;;;;;;;;;;;;;;;;;;;;;;;;;;;
21449;88;185;19060;;;;;;;;;;;;;;;;;;;;;;;;
21450;80;172;27910;;;;;;;;;;;;;;;;;;;;;;;;
21451;;;;;;;;;;;;;;;;;;;;;;;;;;;
21452;1203;3016;23140;65;7;;;;;;;;;76.1;70.5;2.2;3.4;29;6.6;4.7;2.6;1.4;0.7;-16.4;14310;35400;2.5
21454;60;108;19820;;;;;;;;;;;;;;;;;;;;;;;;
21455;92;210;20980;;;;;;;;;;;;;;;;;;;;;;;;
21456;68;152;21700;;;;;;;;;;;;;;;;;;;;;;;;
21457;;;;;;;;;;;;;;;;;;;;;;;;;;;
21458;405;1152;25540;;;;;;;;;;;;;;;;;;;;;;;;
21459;93;226;24530;;;;;;;;;;;;;;;;;;;;;;;;
21460;;;;;;;;;;;;;;;;;;;;;;;;;;;
21461;631;1298;20890;;;;;;;;;;;;;;;;;;;;;;;;
21462;323;869;28200;;;;;;;;;;;;;;;;;;;;;;;;
21463;;;;;;;;;;;;;;;;;;;;;;;;;;;
21464;2445;5025;21980;57;10;;;;;;;;18;69;57.2;2.4;9.4;30.8;12.1;5.5;1.9;2.4;1.2;-17.4;13260;39360;3
21465;;;;;;;;;;;;;;;;;;;;;;;;;;;
21466;;;;;;;;;;;;;;;;;;;;;;;;;;;
21467;59;132;21110;;;;;;;;;;;;;;;;;;;;;;;;
21468;50;95;23910;;;;;;;;;;;;;;;;;;;;;;;;
21469;186;477;25930;;;;;;;;;;;;;;;;;;;;;;;;
21470;;;;;;;;;;;;;;;;;;;;;;;;;;;
21471;;;;;;;;;;;;;;;;;;;;;;;;;;;
21472;81;186;22030;;;;;;;;;;;;;;;;;;;;;;;;
21473;378;903;24940;;;;;;;;;;;;;;;;;;;;;;;;
21474;189;416;20970;;;;;;;;;;;;;;;;;;;;;;;;
21475;213;537;20700;;;;;;;;;;;;;;;;;;;;;;;;
21476;79;163;20340;;;;;;;;;;;;;;;;;;;;;;;;
21477;;;;;;;;;;;;;;;;;;;;;;;;;;;
21478;121;304;25740;;;;;;;;;;;;;;;;;;;;;;;;
21479;;;;;;;;;;;;;;;;;;;;;;;;;;;
21480;115;253;26830;;;;;;;;;;;;;;;;;;;;;;;;
21481;935;2067;24710;73;;;;;;;;;;74.8;66.6;2.3;5.9;30.5;8.8;3.7;1.6;1.5;0.6;-17.8;14580;40160;2.8
21482;280;660;20870;;;;;;;;;;;;;;;;;;;;;;;;
21483;103;310;24750;;;;;;;;;;;;;;;;;;;;;;;;
21484;;;;;;;;;;;;;;;;;;;;;;;;;;;
21485;1156;2630;22060;60;12;;;;;;;;29;71;65.6;2.7;2.7;31.5;6.8;6;2.1;2.4;1.5;-15.3;12240;34990;2.9
21487;159;416;23520;;;;;;;;;;;;;;;;;;;;;;;;
21488;93;201;19770;;;;;;;;;;;;;;;;;;;;;;;;
21489;;;;;;;;;;;;;;;;;;;;;;;;;;;
21490;73;153;22620;;;;;;;;;;;;;;;;;;;;;;;;
21491;;;;;;;;;;;;;;;;;;;;;;;;;;;
21492;201;462;26390;;;;;;;;;;;;;;;;;;;;;;;;
21493;229;572;21490;;;;;;;;;;;;;;;;;;;;;;;;
21494;;;;;;;;;;;;;;;;;;;;;;;;;;;
21495;57;137;21820;;;;;;;;;;;;;;;;;;;;;;;;
21496;593;1284;20830;;;;;;;;;;;;;;;;;;;;;;;;
21497;88;199;24110;;;;;;;;;;;;;;;;;;;;;;;;
21498;;;;;;;;;;;;;;;;;;;;;;;;;;;
21499;81;188;19680;;;;;;;;;;;;;;;;;;;;;;;;
21500;241;567;21670;;;;;;;;;;;;;;;;;;;;;;;;
21501;694;1395;21740;;;;;;;;;;;;;;;;;;;;;;;;
21502;279;600;21370;;;;;;;;;;;;;;;;;;;;;;;;
21503;56;123;21810;;;;;;;;;;;;;;;;;;;;;;;;
21504;;;;;;;;;;;;;;;;;;;;;;;;;;;
21505;327;644;19890;;;;;;;;;;;;;;;;;;;;;;;;
21506;173;378;23920;;;;;;;;;;;;;;;;;;;;;;;;
21508;194;490;26710;;;;;;;;;;;;;;;;;;;;;;;;
21510;73;164;23310;;;;;;;;;;;;;;;;;;;;;;;;
21511;58;127;23890;;;;;;;;;;;;;;;;;;;;;;;;
21512;172;374;27640;;;;;;;;;;;;;;;;;;;;;;;;
21514;55;97;22000;;;;;;;;;;;;;;;;;;;;;;;;
21515;3837;8692;21520;59;13;;18;15;13;;;5;26;65.8;61.4;2.6;1.8;36.5;5.7;6.9;2.5;2.9;1.5;-14.9;12410;34100;2.7
21516;;;;;;;;;;;;;;;;;;;;;;;;;;;
21517;202;534;25130;;;;;;;;;;;;;;;;;;;;;;;;
21518;88;206;22800;;;;;;;;;;;;;;;;;;;;;;;;
21519;152;296;19080;;;;;;;;;;;;;;;;;;;;;;;;
21520;63;136;24210;;;;;;;;;;;;;;;;;;;;;;;;
21521;342;910;25420;;;;;;;;;;;;;;;;;;;;;;;;
21522;175;411;22030;;;;;;;;;;;;;;;;;;;;;;;;
21523;69;160;23740;;;;;;;;;;;;;;;;;;;;;;;;
21524;;;;;;;;;;;;;;;;;;;;;;;;;;;
21525;411;832;19770;;;;;;;;;;;;;;;;;;;;;;;;
21526;;;;;;;;;;;;;;;;;;;;;;;;;;;
21527;126;288;24890;;;;;;;;;;;;;;;;;;;;;;;;
21528;61;139;20590;;;;;;;;;;;;;;;;;;;;;;;;
21529;;;;;;;;;;;;;;;;;;;;;;;;;;;
21530;76;159;23750;;;;;;;;;;;;;;;;;;;;;;;;
21531;223;419;20100;;;;;;;;;;;;;;;;;;;;;;;;
21532;427;1158;26270;;;;;;;;;;;;;;;;;;;;;;;;
21533;;;;;;;;;;;;;;;;;;;;;;;;;;;
21534;285;722;25900;;;;;;;;;;;;;;;;;;;;;;;;
21535;526;1340;26550;;;;;;;;;;;;;;;;;;;;;;;;
21536;132;284;23310;;;;;;;;;;;;;;;;;;;;;;;;
21537;60;120;19520;;;;;;;;;;;;;;;;;;;;;;;;
21538;58;118;21350;;;;;;;;;;;;;;;;;;;;;;;;
21539;;;;;;;;;;;;;;;;;;;;;;;;;;;
21540;3510;7673;24290;67;7;;;;;;;;17;72.6;67.5;2.1;3;33;6.5;4.4;1.7;1.8;0.9;-16.5;14510;38540;2.7
21541;98;225;31110;;;;;;;;;;;;;;;;;;;;;;;;
21542;163;457;24040;;;;;;;;;;;;;;;;;;;;;;;;
21543;89;185;22140;;;;;;;;;;;;;;;;;;;;;;;;
21544;;;;;;;;;;;;;;;;;;;;;;;;;;;
21545;403;864;20260;;;;;;;;;;;;;;;;;;;;;;;;
21546;100;212;21810;;;;;;;;;;;;;;;;;;;;;;;;
21547;88;217;22420;;;;;;;;;;;;;;;;;;;;;;;;
21548;81;168;19480;;;;;;;;;;;;;;;;;;;;;;;;
21549;;;;;;;;;;;;;;;;;;;;;;;;;;;
21550;52;124;23190;;;;;;;;;;;;;;;;;;;;;;;;
21552;;;;;;;;;;;;;;;;;;;;;;;;;;;
21553;51;114;25310;;;;;;;;;;;;;;;;;;;;;;;;
21554;484;850;17670;;;;;;;;;;;;;;;;;;;;;;;;
21555;586;1574;26810;;;;;;;;;;;;;;;;;;;;;;;;
21556;92;262;23250;;;;;;;;;;;;;;;;;;;;;;;;
21557;56;109;20460;;;;;;;;;;;;;;;;;;;;;;;;
21558;365;902;24860;;;;;;;;;;;;;;;;;;;;;;;;
21559;279;697;25260;;;;;;;;;;;;;;;;;;;;;;;;
21560;138;288;19400;;;;;;;;;;;;;;;;;;;;;;;;
21561;187;462;23680;;;;;;;;;;;;;;;;;;;;;;;;
21562;79;203;20750;;;;;;;;;;;;;;;;;;;;;;;;
21563;58;122;23030;;;;;;;;;;;;;;;;;;;;;;;;
21564;154;396;22780;;;;;;;;;;;;;;;;;;;;;;;;
21565;203;557;24450;;;;;;;;;;;;;;;;;;;;;;;;
21566;56;116;20200;;;;;;;;;;;;;;;;;;;;;;;;
21567;103;203;20650;;;;;;;;;;;;;;;;;;;;;;;;
21568;324;684;21990;;;;;;;;;;;;;;;;;;;;;;;;
21569;91;215;25970;;;;;;;;;;;;;;;;;;;;;;;;
21570;78;167;20690;;;;;;;;;;;;;;;;;;;;;;;;
21571;96;230;21190;;;;;;;;;;;;;;;;;;;;;;;;
21572;146;402;22450;;;;;;;;;;;;;;;;;;;;;;;;
21573;141;291;21390;;;;;;;;;;;;;;;;;;;;;;;;
21574;181;398;22200;;;;;;;;;;;;;;;;;;;;;;;;
21575;156;357;19890;;;;;;;;;;;;;;;;;;;;;;;;
21576;75;173;18880;;;;;;;;;;;;;;;;;;;;;;;;
21577;541;1351;20090;;;;;;;;;;;;;;;;;;;;;;;;
21578;113;299;24410;;;;;;;;;;;;;;;;;;;;;;;;
21579;79;175;21560;;;;;;;;;;;;;;;;;;;;;;;;
21580;61;126;21430;;;;;;;;;;;;;;;;;;;;;;;;
21581;63;144;22520;;;;;;;;;;;;;;;;;;;;;;;;
21582;318;668;24050;;;;;;;;;;;;;;;;;;;;;;;;
21583;;;;;;;;;;;;;;;;;;;;;;;;;;;
21584;1153;2179;19490;46;18;;;;;;;;30;57.9;48.4;2.1;7.4;39.4;9.1;7.4;1.7;3.8;1.9;-13.8;10920;33750;3.1
21585;436;1018;23790;;;;;;;;;;;;;;;;;;;;;;;;
21586;274;726;25180;;;;;;;;;;;;;;;;;;;;;;;;
21587;107;250;23960;;;;;;;;;;;;;;;;;;;;;;;;
21588;;;;;;;;;;;;;;;;;;;;;;;;;;;
21589;40;106;24570;;;;;;;;;;;;;;;;;;;;;;;;
21590;587;1316;25370;;;;;;;;;;;;;;;;;;;;;;;;
21591;337;877;28130;;;;;;;;;;;;;;;;;;;;;;;;
21592;90;237;25990;;;;;;;;;;;;;;;;;;;;;;;;
21593;;;;;;;;;;;;;;;;;;;;;;;;;;;
21594;93;195;20750;;;;;;;;;;;;;;;;;;;;;;;;
21595;62;163;26850;;;;;;;;;;;;;;;;;;;;;;;;
21596;129;374;25720;;;;;;;;;;;;;;;;;;;;;;;;
21597;;;;;;;;;;;;;;;;;;;;;;;;;;;
21598;76;156;24690;;;;;;;;;;;;;;;;;;;;;;;;
21599;1006;2343;22780;60;9;;;;;;;;;68.9;62.9;2.6;3.4;33.4;7.3;5.1;2.3;1.9;0.9;-14.7;13680;33520;2.5
21600;50;126;22990;;;;;;;;;;;;;;;;;;;;;;;;
21601;42;104;25060;;;;;;;;;;;;;;;;;;;;;;;;
21602;;;;;;;;;;;;;;;;;;;;;;;;;;;
21603;1958;3628;20950;52;16;;;;;;;;28;62.4;54.9;2.4;5.1;36.4;9.8;7.6;1.5;4.3;1.8;-16.2;11640;37870;3.3
21604;62;152;20240;;;;;;;;;;;;;;;;;;;;;;;;
21605;847;2154;24400;68;;;;;;;;;;76.4;71.1;2;3.3;30.1;6.1;3.6;1.6;1.4;0.6;-16.2;15860;37430;2.4
21606;731;1854;24420;;;;;;;;;;;;;;;;;;;;;;;;
21607;1137;2198;19460;46;16;;;;;;;;27;54.3;47.7;2.4;4.2;42.2;8.2;8.4;2.6;3.7;2.1;-13.1;11970;31690;2.6
21608;;;;;;;;;;;;;;;;;;;;;;;;;;;
21609;185;481;23230;;;;;;;;;;;;;;;;;;;;;;;;
21610;134;363;22370;;;;;;;;;;;;;;;;;;;;;;;;
21611;394;898;22770;;;;;;;;;;;;;;;;;;;;;;;;
21612;;;;;;;;;;;;;;;;;;;;;;;;;;;
21613;71;173;20720;;;;;;;;;;;;;;;;;;;;;;;;
21614;142;402;25800;;;;;;;;;;;;;;;;;;;;;;;;
21615;116;247;20540;;;;;;;;;;;;;;;;;;;;;;;;
21616;88;203;30760;;;;;;;;;;;;;;;;;;;;;;;;
21617;5140;10760;22950;61;15;;23;19;16;8;;;31;62.3;53.9;2.2;6.2;38.5;13.6;6.1;1.9;2.7;1.5;-20.5;11790;44510;3.8
21618;236;532;20260;;;;;;;;;;;;;;;;;;;;;;;;
21619;95;216;24560;;;;;;;;;;;;;;;;;;;;;;;;
21620;78;174;25760;;;;;;;;;;;;;;;;;;;;;;;;
21622;97;247;24050;;;;;;;;;;;;;;;;;;;;;;;;
21623;572;1595;24390;;;;;;;;;;;;;;;;;;;;;;;;
21624;54;145;22930;;;;;;;;;;;;;;;;;;;;;;;;
21625;;;;;;;;;;;;;;;;;;;;;;;;;;;
21626;;;;;;;;;;;;;;;;;;;;;;;;;;;
21627;;;;;;;;;;;;;;;;;;;;;;;;;;;
21628;;;;;;;;;;;;;;;;;;;;;;;;;;;
21629;134;292;20250;;;;;;;;;;;;;;;;;;;;;;;;
21630;84;201;20860;;;;;;;;;;;;;;;;;;;;;;;;
21631;;;;;;;;;;;;;;;;;;;;;;;;;;;
21632;408;1105;24690;;;;;;;;;;;;;;;;;;;;;;;;
21633;97;193;22720;;;;;;;;;;;;;;;;;;;;;;;;
21634;69;129;21160;;;;;;;;;;;;;;;;;;;;;;;;
21635;55;111;22070;;;;;;;;;;;;;;;;;;;;;;;;
21636;118;245;20770;;;;;;;;;;;;;;;;;;;;;;;;
21637;86;214;20770;;;;;;;;;;;;;;;;;;;;;;;;
21638;423;1116;23990;;;;;;;;;;;;;;;;;;;;;;;;
21639;287;743;23200;;;;;;;;;;;;;;;;;;;;;;;;
21640;82;198;21850;;;;;;;;;;;;;;;;;;;;;;;;
21641;205;505;22800;;;;;;;;;;;;;;;;;;;;;;;;
21642;202;407;19070;;;;;;;;;;;;;;;;;;;;;;;;
21643;162;448;23630;;;;;;;;;;;;;;;;;;;;;;;;
21644;66;170;24350;;;;;;;;;;;;;;;;;;;;;;;;
21645;238;576;21390;;;;;;;;;;;;;;;;;;;;;;;;
21646;59;131;22590;;;;;;;;;;;;;;;;;;;;;;;;
21647;58;122;20860;;;;;;;;;;;;;;;;;;;;;;;;
21648;85;177;23710;;;;;;;;;;;;;;;;;;;;;;;;
21649;;;;;;;;;;;;;;;;;;;;;;;;;;;
21650;60;148;25890;;;;;;;;;;;;;;;;;;;;;;;;
21651;94;210;23000;;;;;;;;;;;;;;;;;;;;;;;;
21652;127;301;22510;;;;;;;;;;;;;;;;;;;;;;;;
21653;;;;;;;;;;;;;;;;;;;;;;;;;;;
21655;119;247;17690;;;;;;;;;;;;;;;;;;;;;;;;
21656;272;719;25420;;;;;;;;;;;;;;;;;;;;;;;;
21657;812;2044;28840;81;;;;;;;;;;73;65.4;1.6;6;34;11.3;2;1.2;0.5;0.3;-20.3;18680;47620;2.5
21659;71;166;22430;;;;;;;;;;;;;;;;;;;;;;;;
21660;;;;;;;;;;;;;;;;;;;;;;;;;;;
21661;728;1729;25890;;;;;;;;;;;;;;;;;;;;;;;;
21662;;;;;;;;;;;;;;;;;;;;;;;;;;;
21663;1439;2839;19200;48;17;;;;;;;;28;60.3;55.9;2.3;2.1;38.2;6.4;7.8;2.3;3.7;1.8;-12.7;10600;29970;2.8
21664;;;;;;;;;;;;;;;;;;;;;;;;;;;
21665;56;137;20670;;;;;;;;;;;;;;;;;;;;;;;;
21666;;;;;;;;;;;;;;;;;;;;;;;;;;;
21667;143;361;24300;;;;;;;;;;;;;;;;;;;;;;;;
21669;;;;;;;;;;;;;;;;;;;;;;;;;;;
21670;131;277;20510;;;;;;;;;;;;;;;;;;;;;;;;
21671;;;;;;;;;;;;;;;;;;;;;;;;;;;
21672;;;;;;;;;;;;;;;;;;;;;;;;;;;
21673;90;191;22790;;;;;;;;;;;;;;;;;;;;;;;;
21674;109;219;21260;;;;;;;;;;;;;;;;;;;;;;;;
21675;;;;;;;;;;;;;;;;;;;;;;;;;;;
21676;99;220;21770;;;;;;;;;;;;;;;;;;;;;;;;
21677;46;106;19880;;;;;;;;;;;;;;;;;;;;;;;;
21678;96;179;21510;;;;;;;;;;;;;;;;;;;;;;;;
21679;55;136;23010;;;;;;;;;;;;;;;;;;;;;;;;
21680;216;519;21170;;;;;;;;;;;;;;;;;;;;;;;;
21681;44;101;22380;;;;;;;;;;;;;;;;;;;;;;;;
21682;99;246;24130;;;;;;;;;;;;;;;;;;;;;;;;
21683;162;359;19180;;;;;;;;;;;;;;;;;;;;;;;;
21684;344;915;25220;;;;;;;;;;;;;;;;;;;;;;;;
21685;130;273;21620;;;;;;;;;;;;;;;;;;;;;;;;
21686;64;143;26830;;;;;;;;;;;;;;;;;;;;;;;;
21687;73;139;20110;;;;;;;;;;;;;;;;;;;;;;;;
21688;48;121;29940;;;;;;;;;;;;;;;;;;;;;;;;
21689;67;173;29710;;;;;;;;;;;;;;;;;;;;;;;;
21690;;;;;;;;;;;;;;;;;;;;;;;;;;;
21691;148;404;25590;;;;;;;;;;;;;;;;;;;;;;;;
21692;102;253;26360;;;;;;;;;;;;;;;;;;;;;;;;
21693;;;;;;;;;;;;;;;;;;;;;;;;;;;
21694;;;;;;;;;;;;;;;;;;;;;;;;;;;
21695;;;;;;;;;;;;;;;;;;;;;;;;;;;
21696;;;;;;;;;;;;;;;;;;;;;;;;;;;
21698;174;415;24700;;;;;;;;;;;;;;;;;;;;;;;;
21699;461;1191;22710;;;;;;;;;;;;;;;;;;;;;;;;
21700;;;;;;;;;;;;;;;;;;;;;;;;;;;
21701;57;127;22470;;;;;;;;;;;;;;;;;;;;;;;;
21702;120;277;23950;;;;;;;;;;;;;;;;;;;;;;;;
21703;;;;;;;;;;;;;;;;;;;;;;;;;;;
21704;;;;;;;;;;;;;;;;;;;;;;;;;;;
21705;;;;;;;;;;;;;;;;;;;;;;;;;;;
21706;51;108;24170;;;;;;;;;;;;;;;;;;;;;;;;
21707;112;208;18560;;;;;;;;;;;;;;;;;;;;;;;;
21708;130;333;23010;;;;;;;;;;;;;;;;;;;;;;;;
21709;87;189;22660;;;;;;;;;;;;;;;;;;;;;;;;
21710;417;813;19490;;;;;;;;;;;;;;;;;;;;;;;;
21711;51;110;21190;;;;;;;;;;;;;;;;;;;;;;;;
21712;118;246;31730;;;;;;;;;;;;;;;;;;;;;;;;
21713;145;343;22060;;;;;;;;;;;;;;;;;;;;;;;;
21714;160;350;29160;;;;;;;;;;;;;;;;;;;;;;;;
21715;93;185;20130;;;;;;;;;;;;;;;;;;;;;;;;
21716;77;176;27570;;;;;;;;;;;;;;;;;;;;;;;;
21717;128;268;19560;;;;;;;;;;;;;;;;;;;;;;;;
22001;231;605;20550;;;;;;;;;;;;;;;;;;;;;;;;
22002;458;1169;22710;;;;;;;;;;;;;;;;;;;;;;;;
22003;369;939;21380;;;;;;;;;;;;;;;;;;;;;;;;
22004;2133;4597;20860;49;12;;;;;;;7;26;60;52.8;2.5;4.7;39.8;6.2;7.3;2.4;3.5;1.4;-13.3;12490;31420;2.5
22005;502;976;18490;;;;;;;;;;;;;;;;;;;;;;;;
22006;102;270;18680;;;;;;;;;;;;;;;;;;;;;;;;
22008;471;1179;22540;;;;;;;;;;;;;;;;;;;;;;;;
22009;80;173;19420;;;;;;;;;;;;;;;;;;;;;;;;
22011;419;1091;20540;;;;;;;;;;;;;;;;;;;;;;;;
22012;373;878;21530;;;;;;;;;;;;;;;;;;;;;;;;
22013;1008;2143;20410;45;14;;;;;;;;;61.5;47.8;2.1;11.6;36.2;9.3;6.2;2.3;2.6;1.3;-13.2;11800;32290;2.7
22014;458;1148;20770;;;;;;;;;;;;;;;;;;;;;;;;
22015;668;1658;21930;;;;;;;;;;;;;;;;;;;;;;;;
22016;168;325;23180;;;;;;;;;;;;;;;;;;;;;;;;
22018;148;316;19720;;;;;;;;;;;;;;;;;;;;;;;;
22019;193;477;20780;;;;;;;;;;;;;;;;;;;;;;;;
22020;1198;2672;20860;48;12;;;;;;;;;65.1;55.8;2.6;6.7;33.5;8.9;6;2.4;2.4;1.2;-13.5;12760;33600;2.6
22021;501;1180;20560;;;;;;;;;;;;;;;;;;;;;;;;
22023;185;414;18710;;;;;;;;;;;;;;;;;;;;;;;;
22024;107;202;18190;;;;;;;;;;;;;;;;;;;;;;;;
22025;1092;2007;18790;38;19;;;;;;;13;;43.9;35.1;2.2;6.6;51.2;10.2;7.2;2;3.7;1.5;-12.5;10820;30870;2.9
22026;305;744;20850;;;;;;;;;;;;;;;;;;;;;;;;
22027;203;425;19890;;;;;;;;;;;;;;;;;;;;;;;;
22028;365;871;20810;;;;;;;;;;;;;;;;;;;;;;;;
22029;175;359;19740;;;;;;;;;;;;;;;;;;;;;;;;
22030;353;871;21330;;;;;;;;;;;;;;;;;;;;;;;;
22031;318;642;18150;;;;;;;;;;;;;;;;;;;;;;;;
22032;1080;2348;21200;48;9;;;;;;;;;64;55;2.4;6.6;34.4;9.4;5.4;2.5;2;0.9;-13.2;13590;33020;2.4
22033;186;365;20860;;;;;;;;;;;;;;;;;;;;;;;;
22034;628;1544;20930;;;;;;;;;;;;;;;;;;;;;;;;
22035;442;1025;21550;;;;;;;;;;;;;;;;;;;;;;;;
22036;76;206;20700;;;;;;;;;;;;;;;;;;;;;;;;
22037;175;335;17530;;;;;;;;;;;;;;;;;;;;;;;;
22039;268;530;19510;;;;;;;;;;;;;;;;;;;;;;;;
