CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
01077;93;176;21620;;;;;;;;;;;;;;;;;;;;;;;;
01078;526;1289;40710;;;;;;;;;;;;;;;;;;;;;;;;
01079;298;673;21380;;;;;;;;;;;;;;;;;;;;;;;;
01080;280;634;22060;;;;;;;;;;;;;;;;;;;;;;;;
01081;313;697;25310;;;;;;;;;;;;;;;;;;;;;;;;
01082;211;499;25150;;;;;;;;;;;;;;;;;;;;;;;;
01083;364;950;23920;;;;;;;;;;;;;;;;;;;;;;;;
01084;333;918;22320;;;;;;;;;;;;;;;;;;;;;;;;
01085;152;399;24350;;;;;;;;;;;;;;;;;;;;;;;;
01087;127;295;24460;;;;;;;;;;;;;;;;;;;;;;;;
01088;360;954;27040;;;;;;;;;;;;;;;;;;;;;;;;
01089;862;2305;23440;63;;;;;;;;;;81.6;75.2;2;4.4;21.5;6.6;5.2;3;1.3;0.9;-14.9;14290;34830;2.4
01090;153;368;22780;;;;;;;;;;;;;;;;;;;;;;;;
01092;654;1670;24440;;;;;;;;;;;;;;;;;;;;;;;;
01093;2248;4682;21990;57;11;;;;;;;;19;66;58.9;2.8;4.3;34.4;10.3;5.3;2;2.1;1.2;-16;13000;36520;2.8
01094;314;765;22180;;;;;;;;;;;;;;;;;;;;;;;;
01095;327;784;21550;;;;;;;;;;;;;;;;;;;;;;;;
01096;400;1051;21890;;;;;;;;;;;;;;;;;;;;;;;;
01098;457;1156;21250;;;;;;;;;;;;;;;;;;;;;;;;
01099;660;1594;24930;;;;;;;;;;;;;;;;;;;;;;;;
01100;79;148;20970;;;;;;;;;;;;;;;;;;;;;;;;
01101;65;153;27470;;;;;;;;;;;;;;;;;;;;;;;;
01102;387;989;22490;;;;;;;;;;;;;;;;;;;;;;;;
01103;735;1909;40750;;;;;;;;;;;;;;;;;;;;;;;;
01104;192;433;25530;;;;;;;;;;;;;;;;;;;;;;;;
01105;692;1895;27000;;;;;;;;;;;;;;;;;;;;;;;;
01106;74;178;22170;;;;;;;;;;;;;;;;;;;;;;;;
